UserID,destinationID,AppID,ContentID,When,Where,Action
HR,HRSer,HTTPS,Content,WH,*,allow
HR,HRSer,SSH,Content,WH,*,allow
HR,*,*,Content,NS,*,deny
HR,FinSer,*,*,*,*,deny
HR,RegSer,*,*,*,*,deny
Fin,FinSer,HTTPS,Content,WH,HQ,allow
Fin,FinSer,SSH,Content,WH,HQ,deny
Fin,FinSer,*,Content,WH,Remote,deny
Fin,*,*,Content,NS,*,deny
Fin,HRSer,*,*,*,*,deny
Fin,RegSer,*,*,*,*,deny
Fin,MedSer,*,*,*,*,deny
Reg,RegSer,HTTPS,Content,WH,*,allow
Reg,RegSer,SSH,Content,WH,*,allow
Reg,*,*,Content,NS,*,deny
Reg,FinSer,*,*,*,*,deny
Reg,HRSer,*,*,*,*,deny
Reg,MedSer,*,*,*,*,deny
Med,MedSer,HTTPS,Content,*,*,allow
Med,MedSer,SSH,Content,*,*,deny
Med,FinSer,*,*,*,*,deny
Med,RegSer,*,*,*,*,deny
Tech,*,SSH,Content,*,*,allow
