UserID,destinationID,AppID,ContentID,When,Where,Action
Fin,FinSer,HTTPS,Content,NS,HQ,deny
Fin,FinSer,HTTPS,Content,NS,Remote,deny
Fin,FinSer,HTTPS,Content,WH,HQ,allow
Fin,FinSer,HTTPS,Content,WH,Remote,deny
Fin,FinSer,SSH,Content,NS,HQ,deny
Fin,FinSer,SSH,Content,NS,Remote,deny
Fin,FinSer,SSH,Content,WH,HQ,deny
Fin,FinSer,SSH,Content,WH,Remote,deny
Fin,HRSer,HTTPS,Content,NS,HQ,deny
Fin,HRSer,HTTPS,Content,NS,Remote,deny
Fin,HRSer,HTTPS,Content,WH,HQ,deny
Fin,HRSer,HTTPS,Content,WH,Remote,deny
Fin,HRSer,SSH,Content,NS,HQ,deny
Fin,HRSer,SSH,Content,NS,Remote,deny
Fin,HRSer,SSH,Content,WH,HQ,deny
Fin,HRSer,SSH,Content,WH,Remote,deny
Fin,MedSer,HTTPS,Content,NS,HQ,deny
Fin,MedSer,HTTPS,Content,NS,Remote,deny
Fin,MedSer,HTTPS,Content,WH,HQ,deny
Fin,MedSer,HTTPS,Content,WH,Remote,deny
Fin,MedSer,SSH,Content,NS,HQ,deny
Fin,MedSer,SSH,Content,NS,Remote,deny
Fin,MedSer,SSH,Content,WH,HQ,deny
Fin,MedSer,SSH,Content,WH,Remote,deny
Fin,RegSer,HTTPS,Content,NS,HQ,deny
Fin,RegSer,HTTPS,Content,NS,Remote,deny
Fin,RegSer,HTTPS,Content,WH,HQ,deny
Fin,RegSer,HTTPS,Content,WH,Remote,deny
Fin,RegSer,SSH,Content,NS,HQ,deny
Fin,RegSer,SSH,Content,NS,Remote,deny
Fin,RegSer,SSH,Content,WH,HQ,deny
Fin,RegSer,SSH,Content,WH,Remote,deny
HR,FinSer,HTTPS,Content,NS,HQ,deny
HR,FinSer,HTTPS,Content,NS,Remote,deny
HR,FinSer,HTTPS,Content,WH,HQ,deny
HR,FinSer,HTTPS,Content,WH,Remote,deny
HR,FinSer,SSH,Content,NS,HQ,deny
HR,FinSer,SSH,Content,NS,Remote,deny
HR,FinSer,SSH,Content,WH,HQ,deny
HR,FinSer,SSH,Content,WH,Remote,deny
HR,HRSer,HTTPS,Content,NS,HQ,deny
HR,HRSer,HTTPS,Content,NS,Remote,deny
HR,HRSer,HTTPS,Content,WH,HQ,allow
HR,HRSer,HTTPS,Content,WH,Remote,allow
HR,HRSer,SSH,Content,NS,HQ,deny
HR,HRSer,SSH,Content,NS,Remote,deny
HR,HRSer,SSH,Content,WH,HQ,allow
HR,HRSer,SSH,Content,WH,Remote,allow
HR,MedSer,HTTPS,Content,NS,HQ,deny
HR,MedSer,HTTPS,Content,NS,Remote,deny
HR,MedSer,SSH,Content,NS,HQ,deny
HR,MedSer,SSH,Content,NS,Remote,deny
HR,RegSer,HTTPS,Content,NS,HQ,deny
HR,RegSer,HTTPS,Content,NS,Remote,deny
HR,RegSer,HTTPS,Content,WH,HQ,deny
HR,RegSer,HTTPS,Content,WH,Remote,deny
HR,RegSer,SSH,Content,NS,HQ,deny
HR,RegSer,SSH,Content,NS,Remote,deny
HR,RegSer,SSH,Content,WH,HQ,deny
HR,RegSer,SSH,Content,WH,Remote,deny
Med,FinSer,HTTPS,Content,NS,HQ,deny
Med,FinSer,HTTPS,Content,NS,Remote,deny
Med,FinSer,HTTPS,Content,WH,HQ,deny
Med,FinSer,HTTPS,Content,WH,Remote,deny
Med,FinSer,SSH,Content,NS,HQ,deny
Med,FinSer,SSH,Content,NS,Remote,deny
Med,FinSer,SSH,Content,WH,HQ,deny
Med,FinSer,SSH,Content,WH,Remote,deny
Med,MedSer,HTTPS,Content,NS,HQ,allow
Med,MedSer,HTTPS,Content,NS,Remote,allow
Med,MedSer,HTTPS,Content,WH,HQ,allow
Med,MedSer,HTTPS,Content,WH,Remote,allow
Med,MedSer,SSH,Content,NS,HQ,deny
Med,MedSer,SSH,Content,NS,Remote,deny
Med,MedSer,SSH,Content,WH,HQ,deny
Med,MedSer,SSH,Content,WH,Remote,deny
Med,RegSer,HTTPS,Content,NS,HQ,deny
Med,RegSer,HTTPS,Content,NS,Remote,deny
Med,RegSer,HTTPS,Content,WH,HQ,deny
Med,RegSer,HTTPS,Content,WH,Remote,deny
Med,RegSer,SSH,Content,NS,HQ,deny
Med,RegSer,SSH,Content,NS,Remote,deny
Med,RegSer,SSH,Content,WH,HQ,deny
Med,RegSer,SSH,Content,WH,Remote,deny
Reg,FinSer,HTTPS,Content,NS,HQ,deny
Reg,FinSer,HTTPS,Content,NS,Remote,deny
Reg,FinSer,HTTPS,Content,WH,HQ,deny
Reg,FinSer,HTTPS,Content,WH,Remote,deny
Reg,FinSer,SSH,Content,NS,HQ,deny
Reg,FinSer,SSH,Content,NS,Remote,deny
Reg,FinSer,SSH,Content,WH,HQ,deny
Reg,FinSer,SSH,Content,WH,Remote,deny
Reg,HRSer,HTTPS,Content,NS,HQ,deny
Reg,HRSer,HTTPS,Content,NS,Remote,deny
Reg,HRSer,HTTPS,Content,WH,HQ,deny
Reg,HRSer,HTTPS,Content,WH,Remote,deny
Reg,HRSer,SSH,Content,NS,HQ,deny
