UserID,destinationID,AppID,ContentID,When,Where,Action
"Eslam","Server","SSH","Content","Noon","Cairo","deny"
"Ahmed","Server","SSH","Content","Noon","Cairo","deny"
"Mahmoud","Server","SSH","Content","Noon","Alex","deny"
"HR","HRService","HTTPS","Content","WorkingHours","HQ","deny"
"Tech","HRService","SSH","Content","WorkingHours","HQ","deny"
"Samy","DB","SSH","Content","Noon","Alex","deny"
"Eslam","DB","SSH","Content","Noon","Alex","deny"
"Eslam","Server","SSH","Content","Noon","Cairo","deny"
"Ahmed","Server","SSH","Content","Noon","Cairo","deny"
"Ahmed","Server","SSH","Content","Noon","Cairo","deny"
"Mahmoud","Server","SSH","Content","Noon","Cairo","deny"
"Finance","HRService","HTTPS","Content","WorkingHours","HQ","deny"
"Regulatory","HRService","HTTPS","Content","WorkingHours","HQ","deny"
"Finance","HRService","SSH","Content","WorkingHours","HQ","deny"
"Regulatory","HRService","SSH","Content","WorkingHours","HQ","deny"
"Eslam","Server","SSH","Content","Noon","Cairo","allow"
"Ahmed","Server","SSH","Content","Noon","Cairo","allow"
"Mahmoud","Server","SSH","Content","Noon","Alex","allow"
"HR","HRService","HTTPS","Content","WorkingHours","HQ","allow"
"Tech","HRService","SSH","Content","WorkingHours","HQ","allow"
"Samy","DB","SSH","Content","Noon","Alex","allow"
"Eslam","DB","SSH","Content","Noon","Alex","allow"
"Eslam","Server","SSH","Content","Noon","Cairo","allow"
"Ahmed","Server","SSH","Content","Noon","Cairo","allow"
"Ahmed","Server","SSH","Content","Noon","Cairo","allow"
"Mahmoud","Server","SSH","Content","Noon","Cairo","allow"
"Finance","HRService","HTTPS","Content","WorkingHours","HQ","allow"
"Regulatory","HRService","HTTPS","Content","WorkingHours","HQ","allow"
"Finance","HRService","SSH","Content","WorkingHours","HQ","allow"
"Regulatory","HRService","SSH","Content","WorkingHours","HQ","allow"
