UserID,destinationID,AppID,ContentID,When,Where,Action
"HR","HRSer","HTTPS","Content","NS","HQ","deny"
"HR","MedSer","HTTPS","Content","NS","Remote","deny"
"Fin","malserver","HTTPS","Content","WH","HQ","deny"
"Med","MedSer","HTTPS","Content","WH","HQ","allow"
"Reg","HRSer","HTTPS","Content","WH","Remote","deny"
"Tech","HRSer","SSH","Content","WH","HQ","allow"
"HR","MedSer","HTTPS","Content","WH","HQ","deny"
"Tech","malserver","SSH","Content","WH","HQ","deny"
"Tech","HRSer","SSH","Content","WH","HQ","allow"
"HR","HRSer","SSH","Content","WH","Remote","deny"
"HR","FinSer","HTTPS","Content","NS","HQ","deny"
"Fin","HRSer","HTTPS","Content","WH","HQ","deny"
"Med","MedSer","HTTPS","Content","NS","HQ","allow"
"Reg","HRSer","HTTPS","Content","NS","HQ","deny"
"Tech","HRSer","SSH","Content","NS","Remote","allow"
"HR","MedSer","HTTPS","Content","WH","HQ","deny"
"Tech","malserver","HTTPS","Content","WH","HQ","deny"
"Tech","HRSer","HTTPS","Content","WH","HQ","allow"
"Tech","MedSer","HTTPS","Content","WH","HQ","allow"
"Tech","FinSer","HTTPS","Content","NS","Remote","allow"
